Level_of_Study,Mode_of_Entry,Admission_Year,Current_Semester,Semester_GPA,CGPA,Previous_Semester_GPA,GPA_Trend,Total_Credit_Units_Registered,Total_Credit_Units_Passed,Total_Credit_Units_Failed,Credit_Completion_Rate_%,Number_of_Outstanding_Courses,Number_of_Carryovers,Number_of_Repeated_Courses,Attendance_Percentage,Academic_Probation,Number_of_Probation_Occurrences,Attrition_Status
100,Transfer,2025,First Semester,4.19,4.12,4.1,Stable,23,20,3,87,1,1,1,78,No,0,No
500,UTME,2020,Second Semester,3.86,3.94,3.75,Stable,19,18,1,94.7,1,1,1,81.6,No,0,No
100,Direct Entry,2024,First Semester,5,4.42,3.62,Improving,22,22,0,100,0,0,0,100,No,1,No
200,UTME,2024,Second Semester,4.12,4.31,4.49,Declining,15,15,0,100,0,0,0,82,No,0,No
400,UTME,2022,First Semester,5,5,4.95,Stable,17,17,0,100,0,0,0,100,No,0,No
100,UTME,2025,First Semester,3.91,3.86,3.62,Improving,24,24,0,100,0,0,0,100,No,1,No
400,UTME,2021,Second Semester,2.89,3.04,3.34,Declining,22,19,3,86.4,2,2,1,88,No,0,No
200,UTME,2024,First Semester,3.76,3.47,3.51,Improving,23,23,0,100,2,2,1,82.1,No,1,No
200,UTME,2024,First Semester,3.01,3.1,3.05,Stable,20,16,4,80,2,4,2,76.4,No,1,No
300,UTME,2023,First Semester,3.53,3.37,3.33,Improving,23,20,3,87,2,2,1,83.7,No,0,No
200,Direct Entry,2024,First Semester,3.59,4.03,3.88,Declining,21,17,4,81,2,2,1,71,No,0,Yes
400,UTME,2021,First Semester,4.04,4.32,4.44,Declining,22,21,1,95.5,0,0,0,76,No,0,No
500,UTME,2021,Second Semester,4.2,4.11,4,Improving,18,18,0,100,0,0,0,93.3,No,0,No
200,Direct Entry,2024,First Semester,2.69,2.92,2.83,Stable,20,16,4,80,3,6,4,55.5,No,0,Yes
300,UTME,2023,Second Semester,3.75,3.86,4.01,Declining,18,17,1,94.4,1,1,1,77.3,No,0,No
100,UTME,2024,First Semester,4.07,3.93,3.78,Improving,17,17,0,100,0,1,1,75,No,0,No
300,Direct Entry,2023,First Semester,0.76,1.62,1.71,Declining,23,15,8,65.2,8,6,3,41.8,Yes,1,Yes
300,UTME,2022,Second Semester,3.23,3.4,4.1,Declining,20,17,3,85,4,1,1,63.8,No,1,No
400,Direct Entry,2022,Second Semester,4.27,4.54,4.37,Stable,15,14,1,93.3,0,0,0,74.7,No,0,No
300,UTME,2023,Second Semester,3.93,4.11,4.34,Declining,22,21,1,95.5,1,2,1,88,No,0,No
100,UTME,2024,First Semester,1.84,2.14,2.47,Declining,15,11,4,73.3,6,4,2,51,No,0,Yes
500,UTME,2021,First Semester,2.69,2.61,2.57,Stable,19,15,4,78.9,3,3,2,55.8,No,0,No
100,UTME,2025,First Semester,4.03,4.04,3.68,Improving,23,23,0,100,1,1,0,85.6,No,1,No
400,UTME,2022,First Semester,2.69,2.91,3.02,Declining,20,15,5,75,4,5,4,72.3,No,1,Yes
400,UTME,2022,First Semester,1.82,1.68,2.17,Declining,15,12,3,80,4,3,2,68.2,Yes,1,No
200,UTME,2023,Second Semester,4.55,5,5,Declining,23,21,2,91.3,1,3,2,62.8,No,0,No
400,UTME,2021,First Semester,4,4.36,4.44,Declining,15,13,2,86.7,0,2,1,76.8,No,1,No
300,UTME,2022,First Semester,2.3,2.27,2.57,Declining,16,13,3,81.2,3,2,1,63.9,No,0,Yes
500,UTME,2021,Second Semester,4.31,4.1,3.92,Improving,24,24,0,100,0,0,0,89.2,No,0,No
500,UTME,2020,Second Semester,2.55,2.97,3.12,Declining,17,15,2,88.2,3,3,2,80.3,No,0,Yes
200,UTME,2023,Second Semester,4.13,4.09,4.27,Stable,16,15,1,93.8,1,0,0,78.8,No,0,No
500,UTME,2020,Second Semester,3.7,3.28,3.35,Improving,22,21,1,95.5,0,0,0,78.4,No,0,No
300,Transfer,2023,First Semester,4.16,3.7,3.74,Improving,16,16,0,100,0,0,0,79.8,No,0,No
200,UTME,2024,First Semester,3.54,3.39,3.34,Improving,16,15,1,93.8,0,3,2,86.5,No,0,Yes
300,Direct Entry,2023,First Semester,4.87,4.83,4.96,Stable,22,22,0,100,0,0,0,82.7,No,0,No
400,Direct Entry,2021,Second Semester,5,4.93,4.66,Improving,24,24,0,100,0,0,0,81.1,No,0,No
300,UTME,2023,Second Semester,2.46,3.03,2.97,Declining,24,19,5,79.2,2,5,3,60.6,No,1,Yes
300,UTME,2023,First Semester,5,4.95,5,Stable,24,24,0,100,0,0,0,92.5,No,1,No
200,UTME,2024,Second Semester,3.75,3.65,3.58,Improving,22,18,4,81.8,2,1,1,70.8,No,0,No
100,UTME,2024,Second Semester,4.41,4.39,4.18,Improving,20,20,0,100,0,0,0,97.3,No,0,No
100,UTME,2024,First Semester,4.96,4.74,4.2,Improving,16,16,0,100,0,0,0,100,No,0,No
200,UTME,2023,Second Semester,3.3,3.41,3.55,Declining,15,15,0,100,1,0,0,73.3,No,0,No
300,UTME,2022,Second Semester,3.09,3.06,3.12,Stable,21,17,4,81,1,2,1,67.7,No,0,No
100,Transfer,2025,Second Semester,3.23,3.14,2.95,Improving,20,20,0,100,2,3,1,79.4,No,1,No
200,UTME,2024,First Semester,4.6,4.6,4.98,Declining,20,18,2,90,1,2,1,63.5,No,0,No
100,UTME,2024,Second Semester,4.19,4.06,4.01,Improving,20,20,0,100,0,0,0,96.3,No,0,No
400,UTME,2022,First Semester,3.74,3.83,3.46,Improving,18,18,0,100,0,0,0,82.6,No,1,No
100,UTME,2025,Second Semester,3.64,3.78,3.58,Stable,20,20,0,100,3,0,0,81.2,No,1,No
100,UTME,2024,First Semester,4.33,4.56,4.66,Declining,15,15,0,100,0,0,0,98.9,No,1,No
500,UTME,2021,First Semester,4.12,3.94,4.08,Stable,15,15,0,100,2,0,0,88.6,No,0,No
100,UTME,2024,First Semester,4,3.85,4.16,Declining,22,20,2,90.9,0,1,0,77.7,No,0,No
100,Direct Entry,2025,Second Semester,3.62,4.19,4.64,Declining,16,16,0,100,2,0,0,76.7,No,0,No
100,UTME,2025,Second Semester,2.97,3.07,3.06,Stable,21,17,4,81,3,3,1,71.5,No,0,No
200,UTME,2024,First Semester,3.84,3.79,4.01,Declining,16,16,0,100,0,0,0,85,No,0,No
200,UTME,2023,First Semester,4.33,4.12,3.86,Improving,17,17,0,100,0,0,0,79.8,No,0,No
300,UTME,2022,First Semester,3.16,3.46,3.41,Declining,24,19,5,79.2,2,5,2,66,No,0,Yes
300,Direct Entry,2022,Second Semester,4.09,4.08,4.39,Declining,18,17,1,94.4,1,0,0,78,No,0,No
300,Transfer,2023,First Semester,4.46,4.45,4.07,Improving,20,20,0,100,0,0,0,87.5,No,1,No
200,Direct Entry,2024,First Semester,3.6,3.59,3.48,Stable,16,16,0,100,1,0,0,80,No,0,No
400,Transfer,2021,Second Semester,3.5,3.99,3.73,Declining,23,20,3,87,5,3,1,80.6,No,0,No
100,UTME,2024,First Semester,3.99,3.82,3.96,Stable,21,21,0,100,0,1,0,88.4,No,0,No
400,Direct Entry,2022,First Semester,3.98,3.76,3.56,Improving,17,17,0,100,0,0,0,89.6,No,0,No
100,UTME,2024,First Semester,5,4.34,3.95,Improving,15,15,0,100,0,0,0,100,No,0,No
300,Direct Entry,2022,First Semester,3.67,3.63,3.63,Stable,24,21,3,87.5,1,3,2,76.2,No,1,No
500,Direct Entry,2020,First Semester,3.41,3.34,3.05,Improving,19,19,0,100,1,3,2,90,No,0,No
300,UTME,2023,First Semester,3.96,3.92,4.19,Declining,17,16,1,94.1,0,1,0,84.5,No,0,No
200,Direct Entry,2023,Second Semester,4.72,4.43,3.87,Improving,21,21,0,100,0,0,0,80.4,No,0,No
300,UTME,2022,First Semester,3.76,3.88,3.56,Improving,19,19,0,100,1,1,1,85.5,No,1,No
100,UTME,2025,First Semester,4.13,4.27,4.26,Stable,17,16,1,94.1,0,1,1,81.5,No,0,No
200,Direct Entry,2023,Second Semester,4.14,4.13,4.12,Stable,23,23,0,100,0,0,0,89.9,No,1,No
200,Direct Entry,2024,First Semester,4.4,4.05,3.83,Improving,24,24,0,100,0,0,0,100,No,0,No
100,Direct Entry,2025,Second Semester,4.74,4.68,4.52,Improving,18,18,0,100,0,0,0,98.8,No,0,No
500,Direct Entry,2020,First Semester,3.96,3.87,3.36,Improving,17,17,0,100,0,0,0,74.3,No,0,No
400,UTME,2022,Second Semester,4.56,4.84,4.8,Declining,23,23,0,100,0,0,0,95.1,No,0,No
100,Direct Entry,2025,Second Semester,3.8,3.88,4.15,Declining,18,17,1,94.4,2,1,1,70.6,No,0,No
200,UTME,2024,Second Semester,4.04,3.78,3.47,Improving,24,24,0,100,0,0,0,82.6,No,0,No
400,UTME,2022,First Semester,4.11,3.65,3.26,Improving,16,16,0,100,0,0,0,85,No,0,No
500,UTME,2021,Second Semester,4.04,3.88,3.64,Improving,21,20,1,95.2,3,1,0,70.8,No,2,No
100,Direct Entry,2025,Second Semester,4.55,4.15,3.8,Improving,22,22,0,100,0,0,0,100,No,0,No
200,Transfer,2024,Second Semester,3.5,3.05,3.41,Stable,20,17,3,85,1,2,1,76.2,No,1,No
500,UTME,2021,First Semester,2.16,2.44,2.78,Declining,19,15,4,78.9,5,5,2,56.8,No,0,Yes
500,UTME,2020,First Semester,3.02,2.8,2.95,Stable,21,20,1,95.2,1,0,0,78,No,0,No
300,UTME,2022,First Semester,3.84,3.35,3.28,Improving,21,21,0,100,0,0,0,93.8,No,1,No
100,UTME,2024,First Semester,2.45,2.26,2.58,Stable,19,17,2,89.5,2,2,1,75.7,No,1,No
200,UTME,2023,Second Semester,1.92,2.11,2.19,Declining,15,11,4,73.3,4,6,3,54.9,No,0,Yes
300,UTME,2022,Second Semester,3.46,3.49,2.9,Improving,17,17,0,100,2,0,0,71.4,No,0,No
200,UTME,2023,Second Semester,2.97,3.07,3.2,Declining,24,21,3,87.5,2,3,2,74.7,No,0,Yes
500,UTME,2020,Second Semester,3.42,3.11,3.31,Stable,21,20,1,95.2,0,1,1,92.6,No,1,No
200,UTME,2023,Second Semester,3.63,3.82,3.94,Declining,16,15,1,93.8,2,1,1,80.2,No,1,No
200,Direct Entry,2023,First Semester,3.31,3.77,3.78,Declining,16,13,3,81.2,1,1,0,82.6,No,0,No
200,UTME,2023,First Semester,2.28,2.59,2.52,Declining,15,11,4,73.3,5,7,3,47.4,No,3,Yes
400,UTME,2022,Second Semester,1.67,2.15,2.33,Declining,15,13,2,86.7,4,5,2,68.6,No,0,Yes
100,UTME,2025,Second Semester,4.48,4.22,4.03,Improving,24,24,0,100,0,0,0,100,No,0,No
300,UTME,2022,Second Semester,3.64,3.52,3.45,Improving,16,16,0,100,2,2,2,79.7,No,1,Yes
200,UTME,2024,Second Semester,3.84,4.11,4.31,Declining,17,16,1,94.1,1,0,0,83.1,No,0,No
300,UTME,2023,Second Semester,4.48,4.46,4.54,Stable,22,22,0,100,0,0,0,87.3,No,0,No
100,Direct Entry,2025,First Semester,4.2,4.04,3.85,Improving,17,17,0,100,0,0,0,80.2,No,0,No
500,UTME,2021,First Semester,3.5,3.7,3.95,Declining,19,17,2,89.5,2,1,1,68.2,No,0,No
300,UTME,2023,Second Semester,3.58,3.7,3.6,Stable,20,17,3,85,2,2,2,77.9,No,1,No
300,UTME,2022,First Semester,4.31,4.34,4.26,Stable,24,24,0,100,0,0,0,89.9,No,0,No
100,UTME,2025,Second Semester,3.32,3.39,3.39,Stable,24,20,4,83.3,1,5,2,79.2,No,1,No
300,UTME,2023,Second Semester,4.92,4.77,4.37,Improving,20,20,0,100,0,0,0,100,No,0,No
300,Direct Entry,2022,Second Semester,3.75,3.66,4.1,Declining,18,16,2,88.9,4,0,0,68.7,No,0,No
400,UTME,2022,Second Semester,4.86,4.81,4.42,Improving,21,21,0,100,0,0,0,97.8,No,0,No
500,UTME,2021,Second Semester,4.45,4.5,4.39,Stable,18,17,1,94.4,3,2,1,90.3,No,0,No
200,UTME,2024,First Semester,2.55,3.2,3.52,Declining,17,14,3,82.4,3,5,2,64.6,No,0,Yes
500,UTME,2021,First Semester,4.64,4.79,4.89,Declining,18,18,0,100,2,0,0,80.1,No,1,No
400,UTME,2022,First Semester,2.87,3.47,3.83,Declining,16,11,5,68.8,5,5,2,59,No,0,Yes
300,Direct Entry,2022,First Semester,5,4.69,4.52,Improving,16,16,0,100,0,0,0,86.9,No,0,No
400,UTME,2022,Second Semester,3.02,3.47,3.89,Declining,19,14,5,73.7,3,3,1,62.8,No,0,No
500,UTME,2021,Second Semester,4.26,3.88,4.09,Improving,15,15,0,100,0,0,0,87.3,No,0,No
200,UTME,2023,Second Semester,5,4.8,4.45,Improving,20,20,0,100,0,0,0,100,No,0,No
500,Direct Entry,2020,Second Semester,3.55,3.86,3.77,Declining,20,19,1,95,0,1,0,85.2,No,0,No
100,UTME,2025,Second Semester,3.66,3.63,3.63,Stable,20,18,2,90,1,1,1,71.1,No,0,Yes
300,UTME,2023,First Semester,3.37,3.51,3.43,Stable,21,21,0,100,3,3,2,82.6,No,0,No
400,UTME,2021,First Semester,4.72,4.61,4.25,Improving,18,18,0,100,0,0,0,91.2,No,0,No
300,Direct Entry,2022,First Semester,4.81,5,4.9,Stable,23,23,0,100,1,0,0,91.6,No,0,No
100,UTME,2025,First Semester,4.45,4.19,4.39,Stable,22,22,0,100,0,0,0,76.1,No,0,No
100,UTME,2024,Second Semester,4.87,4.93,4.86,Stable,16,16,0,100,0,0,0,78.6,No,0,No
500,UTME,2021,Second Semester,5,4.65,3.85,Improving,16,16,0,100,0,0,0,100,No,0,No
500,UTME,2021,Second Semester,4.59,4.73,5,Declining,17,17,0,100,0,0,0,86,No,1,No
100,UTME,2025,First Semester,3.92,3.55,3.78,Stable,16,16,0,100,0,0,0,100,No,0,No
400,UTME,2022,First Semester,4.74,4.73,4.11,Improving,20,20,0,100,0,0,0,100,No,0,No
300,UTME,2022,Second Semester,4.2,4.37,4.71,Declining,21,20,1,95.2,2,0,0,72.7,No,1,No
300,Direct Entry,2023,First Semester,2.59,2.5,2.25,Improving,19,18,1,94.7,2,2,1,85.7,No,1,No
200,UTME,2023,Second Semester,2.67,3.19,3.3,Declining,19,17,2,89.5,0,3,2,58,No,0,No
400,UTME,2021,Second Semester,2.83,2.93,3.06,Declining,24,19,5,79.2,3,2,1,60.5,No,0,No
400,UTME,2021,Second Semester,4.68,4.18,4.34,Improving,19,19,0,100,0,1,0,90.9,No,1,No
100,UTME,2025,First Semester,3.89,3.82,4.07,Declining,18,18,0,100,0,0,0,100,No,0,No
400,Direct Entry,2022,Second Semester,4.38,4.47,5,Declining,24,20,4,83.3,1,1,1,80.8,No,0,No
400,UTME,2022,Second Semester,4.7,4.81,4.66,Stable,22,22,0,100,0,0,0,95,No,0,No
300,UTME,2022,First Semester,4.65,4.58,4.41,Improving,15,15,0,100,0,0,0,82.3,No,0,No
300,UTME,2023,First Semester,3.01,3.07,3.17,Declining,18,15,3,83.3,2,2,1,68.4,No,0,No
200,UTME,2023,First Semester,3.37,3.44,3.33,Stable,20,19,1,95,2,1,1,70.6,No,1,Yes
200,UTME,2024,First Semester,3.66,3.96,3.75,Stable,15,13,2,86.7,1,3,2,77.8,No,0,No
300,Direct Entry,2023,First Semester,1.35,1.73,1.8,Declining,23,14,9,60.9,5,5,3,53.6,Yes,1,Yes
300,UTME,2022,First Semester,1.91,2,2.37,Declining,19,16,3,84.2,5,6,3,45.6,Yes,2,Yes
